    3414,   18.355,    0.622,   33.542,   28.892,   14.505
   11821,   96.402,    2.294,  343.592,  342.310,  173.636
    2621,    4.774,    0.420,    3.122,   16.681,    8.459
    8929,   54.894,    1.680,  199.581,  195.995,  100.682
   13858,  134.118,    2.655,  474.216,  470.355,  237.284
    5521,   21.210,    0.987,   25.008,   75.300,   38.795
   13455,  127.073,    2.574,  460.200,  474.842,  236.398
    2653,    5.798,    0.771,    3.199,   18.531,    8.967
   13712,  136.778,    2.650,  477.153,  458.064,  241.312
    6472,   29.879,    1.345,   90.466,  105.952,   54.337
    6371,   29.432,    1.782,   90.259,  104.684,   51.370
    7997,   44.575,    1.514,  142.550,  159.767,   80.445
    1705,    2.395,    0.404,    9.209,    7.418,    3.628
    6298,   27.449,    1.539,  104.314,   97.866,   49.083
    9360,   60.195,    1.753,  218.611,  212.750,  108.070
    8353,   47.674,    1.535,  174.958,  171.396,   85.738
    2323,    3.771,    0.345,    2.201,   15.637,    6.673
    9410,   60.231,    1.787,  220.836,  216.267,  109.259
   15235,  159.933,    2.908,  566.218,  564.187,  288.595
    4791,   16.198,    0.828,    4.456,   62.676,   28.675
    3156,    7.139,    0.539,    2.919,   24.141,   12.298
   12259,  104.321,    2.329,  371.311,  367.839,  185.656
   14289,  140.101,    2.693,  499.504,  502.143,  251.484
   10263,   73.178,    1.926,   10.245,  305.221,  130.077
    1634,    1.888,    0.232,    1.440,    6.468,    3.325
    7853,   42.434,    1.521,  155.292,  150.572,   76.442
    1957,    2.661,    0.296,    1.724,    9.321,    4.723
    9741,   64.885,    1.844,  236.001,  230.094,  117.497
    2354,    3.783,    0.373,    2.420,   13.537,    7.566
   10549,   76.839,    2.023,  274.459,  270.367,  136.447
   14077,  135.856,    2.738,  484.322,  482.052,  243.978
    9643,   63.355,    1.802,  239.835,  226.860,  114.174
    3466,    8.228,    0.576,    5.242,   29.442,   14.915
    4463,   13.956,    0.788,   27.225,   48.843,   24.442
    5806,   22.985,    1.052,   23.329,   82.592,   41.892
   12819,  113.072,    2.433,  402.031,  401.004,  202.385
    4297,   12.715,    0.734,    4.014,   44.775,   22.770
    5986,   24.443,    1.078,   70.104,   87.216,   45.423
   14901,  152.480,    2.870,  539.110,  540.994,  275.312
   10740,   78.983,    2.033,  285.303,  281.850,  143.665
    9086,   57.112,    1.664,  204.934,  202.383,  102.244
