44585003	65596900
41527400	63068970
43954006	64951870
43441387	65004910
43510674	64877846
43142730	64496610
43441387	64248730
44991165	63000095
44864662	63011130
41263510	62603855
41390892	62536630
41389480	62605484
41537300	62831500
41234720	62640835
41653480	62882248
41206017	62678010
43148952	63717590
42608450	64148790
45043644	66195320
44978477	66217610
43771572	62522564
43771572	62510838
43892754	62733890
44247463	63276160
44146793	63106690
44304905	64607710
44441440	64621160
44463390	64587906
43923744	64260970
43651900	64307130
43773170	64253204
43430440	64387490
43768770	64909530
44302155	64608480
44025803	64447556
42108360	63274780
41919968	63287804
41982082	63302597
42003292	63395863
42254677	62876120
42092552	62539420
40736107	62606840
42877605	64601456
42789610	63681340
42958763	63647910
42846073	63659317
42956040	63639725
42804710	63637978
42628403	64005550
42746660	63911360
42635258	63648144
42856007	65371670
44157288	63714375
43600727	63636680
45451088	63879135
44948284	64399800
44968880	64526070
46288260	64459430
43491226	63354700
45190610	63504360
42382550	66100075
44078053	62671364
42718613	65860840
43788890	64658110
43735340	64631160
43374233	64062950
43577290	65524506
43514427	65685080
40393970	62533134
45474003	65971310
45474003	65982124
45064796	65105570
45710130	66109680
45066730	65346560
45370537	65682950
45349068	65690530
45351414	65677340
45387394	65720400
45134438	65467705
45343716	65583390
45145410	65221150
44974426	66375960
45507260	65615260
44228560	65557690
46239845	66145750
45907005	64579370
44305405	65097786
44237160	65011620
44472595	65429830
47198467	62814796
46822975	64456955
47181267	66841240
47128407	66872540
46967484	66902900
47002563	67281040
47174240	66606735
46995605	66898800
47016090	67234980
47210930	66976260
49600191	65067894
